tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1504,6/1/2013 11:46,6/1/2013 12:11,368,Carmine St & 6 Ave,40.73038599,-74.00214988,237,E 11 St & 2 Ave,40.73047309,-73.98672378,18118,Customer,NULL,0
1038,6/1/2013 11:46,6/1/2013 12:03,301,E 2 St & Avenue B,40.72217444,-73.98368779,127,Barrow St & Hudson St,40.73172428,-74.00674436,17188,Subscriber,1958,1
1408,6/1/2013 11:46,6/1/2013 12:10,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,19314,Subscriber,1979,1
657,6/1/2013 11:46,6/1/2013 11:57,495,W 47 St & 10 Ave,40.76269882,-73.99301222,442,W 27 St & 7 Ave,40.746647,-73.993915,16151,Subscriber,1970,1
391,6/1/2013 11:47,6/1/2013 11:53,349,Rivington St & Ridge St,40.71850211,-73.98329859,473,Rivington St & Chrystie St,40.72110063,-73.9919254,19159,Subscriber,1985,2
270,6/1/2013 11:47,6/1/2013 11:51,427,Bus Slip & State St,40.701907,-74.013942,315,South St & Gouverneur Ln,40.70355377,-74.00670227,18596,Customer,NULL,0
3153,6/1/2013 11:47,6/1/2013 12:39,164,E 47 St & 2 Ave,40.75323098,-73.97032517,305,E 58 St & 3 Ave,40.76095756,-73.96724467,17068,Subscriber,1966,1
888,6/1/2013 11:45,6/1/2013 11:59,391,Clark St & Henry St,40.69760127,-73.99344559,406,Hicks St & Montague St,40.69512845,-73.99595065,15604,Subscriber,1984,1
1414,6/1/2013 11:47,6/1/2013 12:11,498,Broadway & W 32 St,40.74854862,-73.98808416,447,8 Ave & W 52 St,40.76370739,-73.9851615,16632,Customer,NULL,0
10551,6/1/2013 11:47,6/1/2013 14:43,352,W 56 St & 6 Ave,40.76340613,-73.97722479,259,South St & Whitehall St,40.70122128,-74.01234218,15633,Customer,NULL,0
289,6/1/2013 11:47,6/1/2013 11:52,280,E 10 St & 5 Ave,40.73331967,-73.99510132,238,Bank St & Washington St,40.7361967,-74.00859207,18409,Subscriber,1960,1
302,6/1/2013 11:47,6/1/2013 11:52,280,E 10 St & 5 Ave,40.73331967,-73.99510132,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,16426,Subscriber,1962,2
570,6/1/2013 11:47,6/1/2013 11:57,534,Water - Whitehall Plaza,40.70255065,-74.0127234,408,Market St & Cherry St,40.71076228,-73.99400398,19786,Subscriber,1978,1
1728,6/1/2013 11:47,6/1/2013 12:16,146,Hudson St & Reade St,40.71625008,-74.0091059,514,12 Ave & W 40 St,40.76087502,-74.00277668,19283,Customer,NULL,0
1691,6/1/2013 11:47,6/1/2013 12:16,146,Hudson St & Reade St,40.71625008,-74.0091059,NULL,NULL,NULL,NULL,17005,Customer,NULL,0
10548,6/1/2013 11:47,6/1/2013 14:43,352,W 56 St & 6 Ave,40.76340613,-73.97722479,259,South St & Whitehall St,40.70122128,-74.01234218,15412,Customer,NULL,0
423,6/1/2013 11:48,6/1/2013 11:55,461,E 20 St & 2 Ave,40.73587678,-73.98205027,482,W 15 St & 7 Ave,40.73935542,-73.99931783,16988,Subscriber,1985,1
752,6/1/2013 11:48,6/1/2013 12:00,301,E 2 St & Avenue B,40.72217444,-73.98368779,310,State St & Smith St,40.68926942,-73.98912867,17162,Subscriber,1982,1
1566,6/1/2013 11:48,6/1/2013 12:14,482,W 15 St & 7 Ave,40.73935542,-73.99931783,426,West St & Chambers St,40.71754834,-74.01322069,15419,Subscriber,1950,1
401,6/1/2013 11:48,6/1/2013 11:55,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,16024,Subscriber,1984,2
935,6/1/2013 11:48,6/1/2013 12:03,229,Great Jones St,40.72743423,-73.99379025,386,Centre St & Worth St,40.71494807,-74.00234482,15205,Customer,NULL,0
1496,6/1/2013 11:48,6/1/2013 12:13,482,W 15 St & 7 Ave,40.73935542,-73.99931783,2008,Little West St & 1 Pl,40.70569254,-74.01677685,19555,Subscriber,1958,2
1964,6/1/2013 11:48,6/1/2013 12:21,502,Henry St & Grand St,40.714215,-73.981346,492,W 33 St & 7 Ave,40.75019995,-73.99093085,20260,Subscriber,1949,2
363,6/1/2013 11:48,6/1/2013 11:54,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,20006,Subscriber,1981,1
10758,6/1/2013 11:48,6/1/2013 14:47,329,Greenwich St & North Moore St,40.72015227,-74.01036501,491,E 24 St & Park Ave S,40.74096374,-73.98602213,17717,Subscriber,1989,2
428,6/1/2013 11:48,6/1/2013 11:55,432,E 7 St & Avenue A,40.72621788,-73.98379855,511,E 14 St & Avenue B,40.72938685,-73.97772429,15309,Subscriber,1976,1
894,6/1/2013 11:48,6/1/2013 12:03,229,Great Jones St,40.72743423,-73.99379025,386,Centre St & Worth St,40.71494807,-74.00234482,16548,Customer,NULL,0
1232,6/1/2013 11:48,6/1/2013 12:09,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.963198,18207,Customer,NULL,0
1426,6/1/2013 11:49,6/1/2013 12:12,329,Greenwich St & North Moore St,40.72015227,-74.01036501,509,9 Ave & W 22 St,40.7454973,-74.00197139,18262,Subscriber,1987,2
458,6/1/2013 11:49,6/1/2013 11:57,393,E 5 St & Avenue C,40.72299208,-73.97995466,441,E 52 St & 2 Ave,40.756014,-73.967416,16696,Subscriber,1972,1
540,6/1/2013 11:49,6/1/2013 11:58,519,Pershing Square North,40.751873,-73.977706,515,W 43 St & 10 Ave,40.76009437,-73.99461843,18081,Subscriber,1989,1
